"GHO (CODE)","GHO (DISPLAY)","GHO (URL)","PUBLISHSTATE (CODE)","PUBLISHSTATE (DISPLAY)","PUBLISHSTATE (URL)","YEAR (CODE)","YEAR (DISPLAY)","YEAR (URL)","REGION (CODE)","REGION (DISPLAY)","REGION (URL)","COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","AGEGROUP (CODE)","AGEGROUP (DISPLAY)","AGEGROUP (URL)","SEX (CODE)","SEX (DISPLAY)","SEX (URL)","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","AFR","Africa","","AGO","Angola","","AGE40-44","40-44 years","","FMLE","Female","","20.6","20.60000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","AFR","Africa","","AGO","Angola","","AGE30-34","30-34 years","","FMLE","Female","","25.1","25.10000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","AFR","Africa","","AGO","Angola","","AGE15-19","15-19  years","","FMLE","Female","","24.3","24.30000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","AFR","Africa","","AGO","Angola","","AGE45-49","45-49 years","","FMLE","Female","","18.1","18.10000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","AFR","Africa","","AGO","Angola","","AGE15-49","15-49 years","","FMLE","Female","","25.9","25.90000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","AFR","Africa","","AGO","Angola","","AGE25-29","25-29 years","","FMLE","Female","","28.0","28.00000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","AGE30-34","30-34 years","","FMLE","Female","","11.2","11.20000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","AGE25-29","25-29 years","","FMLE","Female","","11.7","11.70000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","AGE15-19","15-19  years","","FMLE","Female","","11.5","11.50000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","AGE45-49","45-49 years","","FMLE","Female","","8.5","8.50000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","AGE40-44","40-44 years","","FMLE","Female","","7.7","7.70000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","AGE20-24","20-24 years","","FMLE","Female","","9.9","9.90000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","AGE15-49","15-49 years","","FMLE","Female","","9.8","9.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2006","2006","","EUR","Europe","","AZE","Azerbaijan","","AGE35-39","35-39 years","","FMLE","Female","","10.5","10.50000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2012","2012","","EUR","Europe","","AUT","Austria","","AGE18-49","18-49 years","","FMLE","Female","","4.0","4.00000","","","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; definition of physical and sexual violence differs from the standard"
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BGD","Bangladesh","","AGE25-29","25-29 years","","FMLE","Female","","32.2","32.20000","","","","","Violence against Women Survey 2015 "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BGD","Bangladesh","","AGE45-49","45-49 years","","FMLE","Female","","19.7","19.70000","","","","","Violence against Women Survey 2015 "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BGD","Bangladesh","","AGE15-19","15-19  years","","FMLE","Female","","28.4","28.40000","","","","","Violence against Women Survey 2015 "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BGD","Bangladesh","","AGE40-44","40-44 years","","FMLE","Female","","21.6","21.60000","","","","","Violence against Women Survey 2015 "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BGD","Bangladesh","","AGE20-24","20-24 years","","FMLE","Female","","35.4","35.40000","","","","","Violence against Women Survey 2015 "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BGD","Bangladesh","","AGE35-39","35-39 years","","FMLE","Female","","27.1","27.10000","","","","","Violence against Women Survey 2015 "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BGD","Bangladesh","","AGE30-34","30-34 years","","FMLE","Female","","30.8","30.80000","","","","","Violence against Women Survey 2015 "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015","2015","","SEAR","South-East Asia","","BGD","Bangladesh","","AGE15-49","15-49 years","","FMLE","Female","","28.8","28.80000","","","","","Calculated by UNFPA based on available country data from the Violence against Women Survey 2015 UNECE methodology; women aged 15+"
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","EUR","Europe","","ARM","Armenia","","AGE15-19","15-19  years","","FMLE","Female","","0.0","0.00000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","EUR","Europe","","ARM","Armenia","","AGE45-49","45-49 years","","FMLE","Female","","5.6","5.60000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","EUR","Europe","","ARM","Armenia","","AGE25-29","25-29 years","","FMLE","Female","","2.3","2.30000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","EUR","Europe","","ARM","Armenia","","AGE15-49","15-49 years","","FMLE","Female","","3.5","3.50000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","EUR","Europe","","ARM","Armenia","","AGE20-24","20-24 years","","FMLE","Female","","2.4","2.40000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","EUR","Europe","","ARM","Armenia","","AGE35-39","35-39 years","","FMLE","Female","","4.7","4.70000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","EUR","Europe","","ARM","Armenia","","AGE40-44","40-44 years","","FMLE","Female","","2.8","2.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","EUR","Europe","","ARM","Armenia","","AGE30-34","30-34 years","","FMLE","Female","","3.3","3.30000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BEL","Belgium","","AGE18-49","18-49 years","","FMLE","Female","","8.0","8.00000","","","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; definition of physical and sexual violence differs from the standard"
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016","2016","","AMR","Americas","","BOL","Bolivia (Plurinational State of)","","AGE15-49","15-49 years","","FMLE","Female","","27.1","27.10000","","","","","PAHO 2018 publication Intimate Partner Violence against Women in the Americas: calculated by PAHO based on available country data from the Encuesta de Prevalencia y Caracteristicas de la Violencia contra las Mujeres 2016 ~ENDIREH methodology; women aged 15+; definition of sexual violence differs from the standard"
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2008","2008","","WPR","Western Pacific","","SLB","Solomon Islands","","AGE15-49","15-49 years","","FMLE","Female","","41.8","41.80000","","","","","Solomon Islands Family Health and Safety Study: A study on violence against women and children Based on definition used in the WHO multi-country study on women’s health and domestic violence"
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2012","2012","","EUR","Europe","","BGR","Bulgaria","","AGE18-49","18-49 years","","FMLE","Female","","9.0","9.00000","","","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; definition of physical and sexual violence differs from the standard"
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","SEAR","South-East Asia","","MMR","Myanmar","","AGE30-34","30-34 years","","FMLE","Female","","11.7","11.70000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","SEAR","South-East Asia","","MMR","Myanmar","","AGE15-49","15-49 years","","FMLE","Female","","11.0","11.00000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","SEAR","South-East Asia","","MMR","Myanmar","","AGE15-19","15-19  years","","FMLE","Female","","21.8","21.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","SEAR","South-East Asia","","MMR","Myanmar","","AGE40-44","40-44 years","","FMLE","Female","","10.5","10.50000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","SEAR","South-East Asia","","MMR","Myanmar","","AGE45-49","45-49 years","","FMLE","Female","","5.8","5.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","SEAR","South-East Asia","","MMR","Myanmar","","AGE35-39","35-39 years","","FMLE","Female","","9.9","9.90000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","SEAR","South-East Asia","","MMR","Myanmar","","AGE20-24","20-24 years","","FMLE","Female","","14.0","14.00000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2015-2016","2015-2016","","SEAR","South-East Asia","","MMR","Myanmar","","AGE25-29","25-29 years","","FMLE","Female","","13.3","13.30000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016-2017","2016-2017","","AFR","Africa","","BDI","Burundi","","AGE45-49","45-49 years","","FMLE","Female","","21.9","21.90000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016-2017","2016-2017","","AFR","Africa","","BDI","Burundi","","AGE40-44","40-44 years","","FMLE","Female","","22.5","22.50000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016-2017","2016-2017","","AFR","Africa","","BDI","Burundi","","AGE15-19","15-19  years","","FMLE","Female","","37.8","37.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016-2017","2016-2017","","AFR","Africa","","BDI","Burundi","","AGE30-34","30-34 years","","FMLE","Female","","28.6","28.60000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016-2017","2016-2017","","AFR","Africa","","BDI","Burundi","","AGE35-39","35-39 years","","FMLE","Female","","26.5","26.50000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016-2017","2016-2017","","AFR","Africa","","BDI","Burundi","","AGE15-49","15-49 years","","FMLE","Female","","27.9","27.90000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016-2017","2016-2017","","AFR","Africa","","BDI","Burundi","","AGE25-29","25-29 years","","FMLE","Female","","29.0","29.00000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2016-2017","2016-2017","","AFR","Africa","","BDI","Burundi","","AGE20-24","20-24 years","","FMLE","Female","","34.4","34.40000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","KHM","Cambodia","","AGE45-49","45-49 years","","FMLE","Female","","10.9","10.90000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","KHM","Cambodia","","AGE40-44","40-44 years","","FMLE","Female","","11.1","11.10000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","KHM","Cambodia","","AGE15-49","15-49 years","","FMLE","Female","","10.9","10.90000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","KHM","Cambodia","","AGE20-24","20-24 years","","FMLE","Female","","9.8","9.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","KHM","Cambodia","","AGE35-39","35-39 years","","FMLE","Female","","14.1","14.10000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","KHM","Cambodia","","AGE30-34","30-34 years","","FMLE","Female","","12.8","12.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","KHM","Cambodia","","AGE15-19","15-19  years","","FMLE","Female","","7.0","7.00000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","WPR","Western Pacific","","KHM","Cambodia","","AGE25-29","25-29 years","","FMLE","Female","","7.8","7.80000","","","","","DHS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","AFR","Africa","","CMR","Cameroon","","AGE25-29","25-29 years","","FMLE","Female","","32.8","32.80000","","","","","MICS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","AFR","Africa","","CMR","Cameroon","","AGE35-39","35-39 years","","FMLE","Female","","35.2","35.20000","","","","","MICS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","AFR","Africa","","CMR","Cameroon","","AGE45-49","45-49 years","","FMLE","Female","","28.2","28.20000","","","","","MICS "
"SDGIPV","Proportion of ever-partnered women and girls subjected to physical and sexual violence by a current or former intimate partner in the previous 12 months, by age (%)","https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3745","PUBLISHED","Published","","2014","2014","","AFR","Africa","","CMR","Cameroon","","AGE15-19","15-19  years","","FMLE","Female","","27.4","27.40000","","","","","MICS "
